Feature,Importance
houve abandono parcial,0.09626758499207765
conseguiu finalizar,0.09084692985637285
score dificuldade,0.019752887380689997
tempo total segundos,0.016180142308389364
Quantidade de voltas campos,0.010684686904889686
Quantidade de cliques totais,0.006071001294544633
Quantidade de erros,0.005730912824899035
user id,0.005091508189863429
experiencia formularios,0.004655584032677721
idade,0.004309240984030715
escolaridade Superior,0.0033729962374992053
Quantidade de pausas longas,0.0032827745293248557
Quantidade de campos confusos,0.0030684448712516225
nivel tecnologia Baixo,0.002700999373734977
Quantidade de cliques inuteis,0.0020401348897919128
nivel tecnologia Médio,0.0016766219764733313
dispositivo Tablet,0.0016081285718035447
Quantidade de tentativas reenvio,0.0013598350276257981
dispositivo Mobile,0.0013570380166905058
escolaridade Médio,0.0011649020001045808
deficiencia visual,0.0010254528601664323
escolaridade Pós-graduação,0.000567021437576298
usa leitor tela,0.0001296626984126984
